слово,частотность во фрагментах
время,1411
часть,1021
жизнь,979
год,953
война,941
власть,894
сила,850
развитие,780
мир,744
начало,707
вид,669
система,645
движение,635
конец,631
тело,629
условие,597
помощь,596
результат,541
место,516
число,513
борьба,503
армия,501
работа,497
процесс,495
право,478
сторона,462
образ,445
отношение,445
большинство,442
вода,435
путь,434
действие,429
создание,411
революция,405
центр,396
закон,395
случай,391
форма,389
дело,383
положение,381
влияние,376
раз,370
среда,361
глава,352
союз,351
день,350
ряд,348
труд,342
век,341
история,340
политика,335
роль,334
основа,331
связь,326
производство,323
рука,322
группа,320
цель,319
состав,316
тыс,312
изменение,312
образование,308
опыт,304
клетка,302
об,301
рост,299
количество,295
период,290
запад,289
значение,287
вопрос,287
культура,286
масса,286
возможность,285
торговля,283
хозяйство,282
направление,279
решение,278
природа,275
граница,274
середина,272
деятельность,272
экономика,271
слой,263
восток,262
организация,255
половина,255
название,249
слово,248
область,247
порядок,246
республика,246
свет,245
течение,245
энергия,244
реформа,243
партия,240
победа,240
мера,237
простой,237
тысяча,233
идея,230
договор,227
промышленность,227
оружие,223
качество,222
успех,222
рисунок,221
уровень,221
интерес,221
отряд,218
смерть,217
поле,216
средство,213
участие,212
ход,211
причина,211
строение,210
поддержка,209
ткань,206
свобода,205
поход,203
владение,202
рынок,201
юг,200
наука,195
руководство,194
свойство,193
строительство,192
язык,191
задача,191
эпоха,191
состояние,191
скорость,189
явление,189
пример,187
продукт,187
кровь,186
дорога,186
зависимость,185
размер,183
правило,183
управление,183
совет,181
река,180
лидер,179
появление,179
характер,179
поражение,177
фронт,177
искусство,175
восстание,174
объединение,174
член,174
существование,173
проблема,172
книга,171
отличие,171
произведение,170
множество,169
предприятие,168
признак,166
особенность,165
точка,163
независимость,162
план,159
распространение,159
принцип,159
глаз,157
позиция,157
север,156
кризис,156
имя,156
сфера,155
необходимость,154
сотня,153
длина,152
температура,151
школа,151
момент,150
суд,150
традиция,150
формула,149
наступление,147
лес,146
сопротивление,146
попытка,145
служба,145
численность,144
бой,144
увеличение,144
конституция,143
контроль,142
открытие,142
давление,141
цена,141
тип,140
техника,140
очередь,140
укрепление,140
участок,139
ядро,139
линия,137
предмет,136
защита,136
конфликт,135
лицо,135
размножение,134
собственность,133
почва,133
ток,132
способность,131
сохранение,131
продукция,130
происхождение,129
престол,129
пора,128
лето,128
питание,128
формирование,127
режим,127
август,127
достижение,127
речь,127
удар,126
потеря,125
весна,125
выборы,125
переход,125
расстояние,124
обмен,124
частица,124
класс,124
солнце,124
устройство,123
род,123
вера,122
курс,121
рубеж,121
правление,120
собор,120
черта,120
распад,120
десяток,119
целое,119
ситуация,119
лист,118
собрание,118
угроза,118
болезнь,118
смена,118
май,117
голова,116
структура,116
океан,116
способ,114
функция,114
дерево,114
миллион,114
соглашение,113
учение,113
площадь,113
км,112
этап,110
монархия,110
сердце,110
стремление,110
регион,110
реакция,110
высота,110
соединение,110
религия,110
сентябрь,109
судьба,109
возникновение,108
июль,108
знание,107
выход,107
октябрь,107
итог,107
стена,107
пара,107
требование,107
захват,106
величина,106
использование,105
добыча,105
отрасль,104
изучение,104
предел,103
эволюция,103
метод,102
месяц,102
крепость,102
сражение,102
мозг,101
круг,101
взаимодействие,101
богатство,101
материал,100
внимание,100
командование,100
металл,99
проведение,99
фактор,99
переворот,97
ответ,97
дань,97
остаток,97
исследование,97
оборона,97
жизнедеятельность,96
срок,96
волна,96
поток,95
литература,95
поведение,95
июнь,95
март,95
взгляд,95
усиление,95
польза,94
единство,94
битва,94
образец,94
программа,94
деление,93
безопасность,93
представление,93
сравнение,93
воздействие,93
ночь,92
гибель,92
зона,92
единица,92
февраль,92
вооружение,91
поколение,91
операция,91
освобождение,90
голод,90
чувство,89
информация,89
декабрь,89
набег,89
цепь,89
вывод,88
расширение,88
апрель,88
семя,87
атмосфера,87
завод,87
камень,87
падение,87
противоречие,87
выступление,86
отдел,86
элемент,86
поиск,86
сокращение,85
лошадь,85
ценность,85
обитание,85
получение,84
дыхание,84
капитал,84
ноябрь,84
орудие,84
восстановление,83
степень,83
преобразование,83
цвет,83
норма,82
колебание,81
применение,81
авторитет,81
десятилетие,80
передача,80
основание,80
столетие,80
голос,80
зерно,79
должность,79
тяжесть,79
долг,79
охота,79
январь,79
ремесло,79
мнение,78
осень,78
шаг,78
существо,78
разнообразие,78
переговоры,77
отсутствие,77
здание,77
усилие,76
вес,76
воля,76
равновесие,76
недовольство,75
жертва,75
прошлое,75
заболевание,74
дно,74
ограничение,74
господство,74
опора,74
завоевание,74
последствие,73
потребность,73
нарушение,73
отказ,73
земледелие,73
неделя,72
корень,72
превращение,72
ветер,72
принятие,72
нить,72
наличие,72
возраст,72
быт,71
протест,71
введение,71
облик,71
механизм,71
шар,71
инициатива,71
обычай,71
съезд,71
содержание,70
модернизация,70
столкновение,70
зрение,70
настроение,70
строй,70
сотрудничество,70
треть,70
конечность,70
заключение,70
заряд,70
доля,70
практика,69
теория,69
обеспечение,69
христианство,69
гора,69
нападение,69
модуль,69
честь,69
зима,69
недостаток,68
транспорт,68
популярность,68
ускорение,68
уничтожение,67
протяжение,67
личность,67
пост,67
темп,66
повод,66
луч,66
дух,66
казнь,66
повинность,66
масштаб,66
соответствие,66
опасность,66
груз,66
плод,65
расцвет,65
повышение,65
стадия,65
конгресс,65
знак,64
преимущество,64
освоение,64
занятие,64
край,63
усобица,63
царство,63
час,62
физика,62
рабство,62
канал,62
равенство,62
разгром,62
буква,62
установление,62
различие,61
титул,61
сеть,61
обстановка,61
плотность,61
отбор,61
база,61
любовь,61
живопись,60
плен,60
мысль,60
изображение,60
изобретение,60
покров,60
проявление,60
перевод,60
конкуренция,60
перемещение,60
окончание,59
социализм,59
сумма,59
пол,59
понятие,59
вклад,58
разработка,58
побег,58
надежда,58
урожай,58
творчество,58
полюс,58
будущее,57
промежуток,57
глубина,57
спор,57
признание,57
трон,56
подготовка,56
частота,56
золото,56
прогресс,56
самоуправление,55
разделение,55
символ,55
климат,55
перемена,55
письмо,55
охрана,55
правда,54
технология,54
призыв,54
желание,54
ислам,54
окраска,54
средневековье,54
огонь,54
кг,54
душа,54
поселение,54
учреждение,53
звук,53
потребление,53
контакт,53
группировка,53
комплекс,53
полномочие,53
здоровье,53
роман,53
выделение,53
раздел,52
плата,52
напряжение,52
